rowid,zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,Zipcode,Latitude,Longitude,Broker Name,Detail URL,Search Page URL
56,46145992,FOR_SALE,Foreclosure,,387000,1876,206,388100,207,2540,"0,9312672176",acres,2,2,"1700 Lake Downey Dr, Orlando, FL 32825",1700 Lake Downey Dr,Orlando,32825,"28,567825","-81,23946",Creegan Group,https://www.zillow.com/homedetails/1700-Lake-Downey-Dr-Orlando-FL-32825/46145992_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
57,46076797,FOR_SALE,House for sale,,363000,1224,297,364700,298,2098,6116,sqft,3,1,"1720 Melvin Ave, Orlando, FL 32806",1720 Melvin Ave,Orlando,32806,"28,504608","-81,3571",Keller Williams Advantage Iii Realty,https://www.zillow.com/homedetails/1720-Melvin-Ave-Orlando-FL-32806/46076797_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
58,71083671,FOR_SALE,Condo for sale,,268000,1147,234,267700,233,1867,"1,3512",acres,2,2,"911 N Orange Ave APT 427, Orlando, FL 32801",911 N Orange Ave APT 427,Orlando,32801,"28,557755","-81,37849",Keller Williams Legacy Realty,https://www.zillow.com/homedetails/911-N-Orange-Ave-APT-427-Orlando-FL-32801/71083671_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
59,46167532,FOR_SALE,House for sale,,384900,1107,348,389200,352,2005,7478,sqft,3,2,"5357 Sunrise Blvd, Orlando, FL 32803",5357 Sunrise Blvd,Orlando,32803,"28,56426","-81,31674",Florida Fantasy Real Estate Inc,https://www.zillow.com/homedetails/5357-Sunrise-Blvd-Orlando-FL-32803/46167532_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
60,46232838,FOR_SALE,House for sale,,285000,1045,273,285000,273,1794,6817,sqft,3,2,"5282 Lanette St, Orlando, FL 32811",5282 Lanette St,Orlando,32811,"28,52452","-81,44992",United Realty Group Inc,https://www.zillow.com/homedetails/5282-Lanette-St-Orlando-FL-32811/46232838_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
61,46229630,FOR_SALE,Condo for sale,,269900,1162,232,270000,232,2005,4685,sqft,3,2,"13414 Fairway Glen Dr APT 104, Orlando, FL 32824",13414 Fairway Glen Dr APT 104,Orlando,32824,"28,371107","-81,3513",Homestead Realty Inc,https://www.zillow.com/homedetails/13414-Fairway-Glen-Dr-APT-104-Orlando-FL-32824/46229630_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
62,71084280,FOR_SALE,House for sale,,225000,838,268,224500,268,1464,6748,sqft,2,2,"1329 41st St, Orlando, FL 32839",1329 41st St,Orlando,32839,"28,502047","-81,39774",Investor's Real Estate LLC,https://www.zillow.com/homedetails/1329-41st-St-Orlando-FL-32839/71084280_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
63,46242556,FOR_SALE,House for sale,,300000,1140,263,289982,254,2194,4251,sqft,3,2,"1225 Creekbottom Cir, Orlando, FL 32825",1225 Creekbottom Cir,Orlando,32825,"28,527721","-81,24127",Maxim Realty Orlando,https://www.zillow.com/homedetails/1225-Creekbottom-Cir-Orlando-FL-32825/46242556_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
64,46147200,FOR_SALE,Townhouse for sale,,319000,1228,260,318400,259,1900,5115,sqft,2,3,"4907 Walden Cir #35, Orlando, FL 32811",4907 Walden Cir #35,Orlando,32811,"28,48808","-81,44321",Global Alliance Realty Inc,https://www.zillow.com/homedetails/4907-Walden-Cir-35-Orlando-FL-32811/46147200_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
65,71069055,FOR_SALE,Townhouse for sale,,329000,1312,251,330100,252,1917,1680,sqft,3,3,"16249 Old Ash Loop, Orlando, FL 32828",16249 Old Ash Loop,Orlando,32828,"28,53004","-81,14352",Exp Realty LLC,https://www.zillow.com/homedetails/16249-Old-Ash-Loop-Orlando-FL-32828/71069055_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
66,62638002,FOR_SALE,Condo for sale,,250000,1408,178,250200,178,2092,"0,346671258",acres,3,2,"3224 Dante Dr UNIT 209, Orlando, FL 32835",3224 Dante Dr UNIT 209,Orlando,32835,"28,508623","-81,46688",Alpha Leader Realty LLC,https://www.zillow.com/homedetails/3224-Dante-Dr-UNIT-209-Orlando-FL-32835/62638002_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
67,46034293,FOR_SALE,House for sale,,359900,1252,287,,,,7024,sqft,3,1,"2009 S Osceola Ave, Orlando, FL 32806",2009 S Osceola Ave,Orlando,32806,"28,51899","-81,37026","Lpt Realty, LLC",https://www.zillow.com/homedetails/2009-S-Osceola-Ave-Orlando-FL-32806/46034293_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
68,46056150,FOR_SALE,Condo for sale,,200000,889,225,198900,224,1599,9086,sqft,2,2,"2960 S Semoran Blvd APT 1501, Orlando, FL 32822",2960 S Semoran Blvd APT 1501,Orlando,32822,"28,51319","-81,31411",La Rosa Realty Lake Nona Inc,https://www.zillow.com/homedetails/2960-S-Semoran-Blvd-APT-1501-Orlando-FL-32822/46056150_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
69,71075309,FOR_SALE,Condo for sale,,295000,1202,245,295900,246,2031,6417,sqft,3,2,"9141 Lee Vista Blvd APT 308, Orlando, FL 32829",9141 Lee Vista Blvd APT 308,Orlando,32829,"28,475851","-81,25927",Property Outlet International,https://www.zillow.com/homedetails/9141-Lee-Vista-Blvd-APT-308-Orlando-FL-32829/71075309_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
70,71078778,FOR_SALE,Condo for sale,,225000,1387,162,225300,162,2100,"0,2711202938",acres,3,2,"3250 Corona Village Way APT 308, Orlando, FL 32835",3250 Corona Village Way APT 308,Orlando,32835,"28,508577","-81,47571",Charles Rutenberg Realty Orlando,https://www.zillow.com/homedetails/3250-Corona-Village-Way-APT-308-Orlando-FL-32835/71078778_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
71,82098876,FOR_SALE,Townhouse for sale,,399000,1983,201,,,,2728,sqft,5,3,"13249 Silver Strand Falls Dr, Orlando, FL 32824",13249 Silver Strand Falls Dr,Orlando,32824,"28,372637","-81,32738",Dennis Realty \u0026 Inv. Corp.,https://www.zillow.com/homedetails/13249-Silver-Strand-Falls-Dr-Orlando-FL-32824/82098876_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
72,46217106,FOR_SALE,House for sale,,289000,1360,213,282668,208,1802,6098,sqft,3,2,"2836 W Arlington St, Orlando, FL 32805",2836 W Arlington St,Orlando,32805,"28,550339","-81,4156",Properties In Town,https://www.zillow.com/homedetails/2836-W-Arlington-St-Orlando-FL-32805/46217106_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
73,46197459,FOR_SALE,Foreclosure,,273800,1604,171,,,,9150,sqft,4,2,"100 S Palermo Ave, Orlando, FL 32825",100 S Palermo Ave,Orlando,32825,"28,542236","-81,26896",Bhhs Results Realty,https://www.zillow.com/homedetails/100-S-Palermo-Ave-Orlando-FL-32825/46197459_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
74,82080536,FOR_SALE,Condo for sale,,319000,772,413,,,,3668,sqft,1,1,"155 Court Ave #2813, Orlando, FL 32801",155 Court Ave #2813,Orlando,32801,"28,54132","-81,37801",Fathom Realty Fl LLC,https://www.zillow.com/homedetails/155-Court-Ave-2813-Orlando-FL-32801/82080536_zpid/,https://www.zillow.com/orlando-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A28.749822070624422%2C%22east%22%3A-80.8561433408203%2C%22south%22%3A28.236872009882998%2C%22west%22%3A-81.67874465917967%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13121%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D