,customer_id,overdue_sum,pay_normal,credit_limit,new_balance,highest_balance,high_credit_risk
5822,59000639,0,10,45100.0,45703.2,41101.0,1
5826,59005740,0,12,33000.0,-4.8,828.0,0
5833,59001975,0,8,42900.0,36462.0,38146.0,1
5838,58997555,0,4,,164737.2,138200.0,0
5862,54987789,0,9,,1515.6,138200.0,0
5870,54988373,0,11,66000.0,6195.6,7054.0,0
5871,58986146,0,5,,229862.4,200500.0,0
5875,54985173,0,5,,2707.2,2756.0,0
5878,58993710,0,1,50600.0,61864.8,52054.0,0
5881,54989484,0,7,,6590.4,22486.0,0
5888,58985486,0,7,,0.0,400500.0,0
5893,58985548,0,6,,18931.2,36001.0,0
5897,59005128,0,12,110000.0,12920.4,50318.0,0
5899,58995787,31,8,,92564.4,98000.0,0
5909,54990128,0,9,,13742.4,29948.0,0
5916,58986533,0,10,,34911.6,44500.0,0
5918,54991090,0,11,176000.0,4744.8,30774.0,0
5929,58992060,0,1,,0.0,,0
5935,58983108,0,5,,0.0,,0
5949,54987545,29,8,28600.0,435.6,30195.0,1
5952,58986063,0,7,,9000.0,38000.0,0
5956,54990550,0,10,113300.0,0.0,31903.0,0
5959,58985693,0,7,,17067.6,27462.0,0
5969,54984182,0,10,,411342.0,366938.0,1
5987,59002872,0,12,,1988.4,3169.0,0
5993,58988129,0,10,74800.0,175.2,62061.0,0
6000,54991404,0,12,,95724.0,113739.0,0
6014,54989125,0,1,,47918.4,60400.0,0
6037,58999985,0,2,16500.0,0.0,,0
6043,58986443,0,6,,2538.0,2615.0,0
6047,58995478,0,7,,11263.2,13240.0,0
6058,54983721,0,1,99000.0,-45.6,1061.0,0
6062,58983909,0,5,137500.0,0.0,9082.0,1
6068,58982563,0,4,121000.0,52426.8,48660.0,0
6076,54988209,0,10,,3896.4,20298.0,0
6083,58982776,0,2,,0.0,,1
6090,59001617,0,8,,8661.6,21219.0,1
6091,58988337,0,11,,74206.8,66293.0,1
6092,58994981,0,11,,0.0,10503.0,0
6094,59000066,0,4,,0.0,100500.0,0
6101,58999688,0,8,,355654.8,332500.0,0
6124,54983094,0,5,,30636.0,27581.0,0
6127,58997788,0,11,,7330.8,20757.0,0
6129,54985745,0,8,,30397.2,48000.0,0
6157,54985432,0,2,,0.0,100500.0,0
6169,58990756,0,2,,121843.2,100500.0,0
6175,58989600,0,4,,0.0,100500.0,0
6184,59004328,0,12,108900.0,47114.4,57982.0,0
6187,54985523,0,6,95700.0,0.0,10550.0,0
6195,59001932,0,2,,0.0,100500.0,0
6201,58983850,0,4,,708.0,18662.0,0
6205,58986997,0,11,137500.0,111864.0,132492.0,0
6208,58992481,0,1,,0.0,100500.0,0
6212,58985356,0,8,94600.0,5044.8,60052.0,0
6217,59005680,0,5,,0.0,97000.0,0
6221,54989018,0,9,114400.0,33916.8,48897.0,0
6224,58989550,0,2,57200.0,33223.2,41928.0,0
6236,58987035,0,12,,-510.0,166848.0,0
6246,54983200,0,7,,122319.6,110500.0,0
6249,59002553,0,12,,52392.0,90500.0,0
6253,58997422,0,7,,16321.2,40202.0,0
6265,59001882,0,8,,36861.6,31361.0,1
6267,58990030,0,9,149600.0,123636.0,151828.0,0
6269,58984972,0,7,114400.0,34710.0,45893.0,0
6271,58988360,0,6,,22658.4,26522.0,0
6272,58984653,0,2,,51075.6,45223.0,1
6279,54988624,0,8,,4324.8,5225.0,0
6299,58996401,0,4,,0.0,7200500.0,0
6322,59001213,0,7,,205356.0,197500.0,0
6327,59001297,0,8,,3880.8,18500.0,0
6334,54989065,0,9,106700.0,55129.2,95477.0,0
6336,59000129,0,4,,0.0,100500.0,0
6341,59006219,0,10,,528427.2,500500.0,0
6344,59003741,0,14,28600.0,29221.2,26149.0,0
6346,59002746,0,11,,92343.6,100500.0,1
6349,58999934,0,11,,-51.6,7221.0,0
6354,58999718,0,10,,0.0,25250.0,0
6367,58989748,0,10,,44658.0,63048.0,1
6375,59002803,0,1,,0.0,5299.0,1
6377,54990417,0,11,111100.0,19570.8,16871.0,0
6379,58997840,0,9,,84085.2,100500.0,0
6388,58997265,0,6,205700.0,18355.2,34626.0,0
6393,58998583,0,10,108900.0,5540.4,29879.0,0
6397,58983605,0,6,,0.0,18551.0,0
6406,54991474,0,14,117700.0,0.0,31142.0,0
6413,59001031,0,10,,33320.4,31164.0,0
6415,59000580,0,12,127600.0,22935.6,33800.0,0
6417,58998919,0,11,55000.0,63217.2,53532.0,1
6420,58993583,0,12,,4147.2,40057.0,0
6428,58994549,0,6,,1203596.4,1012697.0,0
6431,59006239,0,12,,2492.4,15440.0,0
6434,59003280,0,11,,45915.6,73036.0,1
6435,59001300,0,9,,25512.0,30607.0,0
6436,59004373,0,13,,231400.8,234500.0,0
6440,54985320,0,8,,13212.0,15962.0,0
6445,58985684,0,9,135300.0,46560.0,99077.0,0
6447,58989402,0,8,116600.0,25117.2,32627.0,0
6450,58989269,0,7,,337008.0,302500.0,1
6455,58993744,0,11,,501434.4,485993.0,0
6474,59005405,0,12,,78948.0,140500.0,0
6479,58993796,0,12,,521348.4,500500.0,0
6489,54991470,0,14,550000.0,322006.8,511715.0,0
6509,54989200,0,11,,49263.6,45263.0,1
6510,59003773,0,11,138600.0,31134.0,32108.0,0
6512,54983719,0,10,96800.0,48388.8,40824.0,0
6522,58983845,0,7,82500.0,0.0,21815.0,0
6530,59005240,0,14,,0.0,21000.0,0
6535,58989779,0,10,148500.0,11727.6,30566.0,0
6540,58986809,0,13,,4089.6,26480.0,1
6541,54982916,0,7,100100.0,205.2,48310.0,0
6546,58991820,0,11,,204543.6,200500.0,0
6565,59000101,0,4,45100.0,32974.8,36500.0,1
6568,58982672,0,2,,13296.0,19500.0,0
6572,58989720,0,4,112200.0,-39.6,6616.0,0
6576,58994048,0,10,108900.0,21915.6,46398.0,0
6578,58989171,0,4,,102014.4,100500.0,0
6589,58986802,0,13,96800.0,83355.6,86843.0,1
6591,59005598,0,1,,0.0,21500.0,0
6609,58990836,0,11,,-133.2,5263.0,0
6626,54982530,0,7,55000.0,0.0,3806.0,0
6630,58988871,0,7,,10436.4,29490.0,0
6642,54988391,0,15,,285934.8,300500.0,0
6648,54983342,0,9,,0.0,27000.0,0
6659,58994117,0,1,,0.0,27500.0,0
6664,58988787,0,9,,16532.4,14277.0,0
6668,58983291,1,8,162800.0,2924.4,15122.0,0
6672,59005843,0,15,55000.0,33940.8,42594.0,0
6674,54983623,0,9,,372304.8,350500.0,0
6681,54985569,0,2,,49080.0,41400.0,0
6686,54991967,0,8,22000.0,20398.8,20499.0,0
6687,54986764,0,7,93500.0,3598.8,5883.0,0
6689,59000143,0,6,42900.0,29329.2,36036.0,0
6691,58996064,0,10,106700.0,113962.8,100642.0,0
6693,54988283,0,2,,0.0,100500.0,1
6696,59005413,0,13,,164564.4,190879.0,0
6704,58988646,0,10,,0.0,30300.0,0
6712,58983307,0,10,,86154.0,79453.0,0
6714,54982665,0,9,60500.0,6657.6,18934.0,1
6718,54985687,0,10,,17835.6,15363.0,1
6722,54988125,0,15,163900.0,30520.8,41674.0,0
6724,59004290,0,14,125400.0,121910.4,107265.0,0
6727,59001833,0,15,57200.0,31646.4,48829.0,0
6730,54992154,0,17,33000.0,36876.0,32433.0,0
6733,54985358,0,9,,307150.8,300500.0,1
6744,58998925,0,12,,5344.8,32870.0,0
6747,58997994,0,12,68200.0,47242.8,42320.0,0
6752,58988196,0,16,,0.0,30326.0,0
6759,58990308,0,10,,301591.2,278000.0,0
6766,59002318,0,4,,24858.0,21215.0,0
6768,54988080,0,6,,41330.4,34942.0,0
6770,58988697,0,4,61600.0,46482.0,39235.0,1
6778,58990236,0,5,,3978.0,4377.0,0
6791,59001863,0,4,,157639.2,141500.0,0
6796,54989050,0,8,77000.0,24421.2,37897.0,0
6798,58990417,0,5,,285925.2,250500.0,0
6805,58985063,0,6,,192147.6,174500.0,0
6812,54989370,0,7,,10012.8,33900.0,0
6818,59003122,0,12,108900.0,159.6,15569.0,0
6820,54984134,0,10,,544650.0,500500.0,1
6830,54989257,0,11,73700.0,71998.8,67589.0,1
6835,54985624,63,9,,1853347.2,1600500.0,0
6837,58998147,0,11,,6318.0,26167.0,0
6840,58998938,0,12,,0.0,30500.0,0
6856,59002940,0,16,,66262.8,65779.0,0
6857,58998809,0,13,170500.0,51757.2,111499.0,0
6860,59004748,0,17,,520462.8,543500.0,0
6863,58986215,0,15,152900.0,19041.6,90621.0,0
6866,58991066,0,11,93500.0,87729.6,73608.0,0
6870,58983073,0,11,74800.0,55550.4,68213.0,0
6875,58983893,0,14,99000.0,29239.2,78912.0,0
6877,58982721,0,17,57200.0,46681.2,54742.0,1
6880,58991614,0,23,,1742.4,40500.0,1
6887,54982387,0,26,,917833.2,1200500.0,1
6898,59000498,0,24,57200.0,92520.0,123341.0,0
6901,58987165,0,24,,178839.6,252768.0,0
6910,54985197,0,21,162800.0,48924.0,87547.0,0
6917,58983376,0,22,94600.0,-33.6,89692.0,0
6934,59004100,0,27,36300.0,14038.8,17265.0,0
6935,54991669,0,27,91300.0,54142.8,62603.0,0
6941,54986068,0,13,,414116.4,400500.0,0
6952,58989594,0,13,33000.0,36072.0,34389.0,1
6957,54984903,0,12,,32660.4,62000.0,1
6967,58984749,0,12,,13263.6,11553.0,0
6971,58989576,0,12,133100.0,2391.6,8510.0,0
6978,59001563,0,16,96800.0,25882.8,69184.0,1
6981,58989236,0,12,82500.0,15727.2,57083.0,1
6982,58982803,0,11,,8804.4,8737.0,0
6986,58990758,0,13,134200.0,32592.0,57378.0,0
6988,59000851,0,19,228800.0,14348.4,55211.0,0
6994,58985785,0,18,11000.0,13.2,26377.0,0
7000,54982697,0,17,135300.0,360.0,48811.0,0
7002,58988902,0,17,79200.0,147804.0,177082.0,0
7010,58998658,0,24,135300.0,41614.8,117013.0,0
7015,58982423,0,24,,500866.8,660500.0,0
7019,58991085,0,15,,158658.0,173500.0,1
7024,58983791,0,13,,292881.6,280500.0,0
7037,58997904,0,13,,512882.4,500500.0,0
7048,54982859,0,7,,310322.4,300500.0,0
7055,58985009,0,11,,69012.0,58010.0,1
7058,59005268,0,20,,193086.0,248500.0,1
7060,59001201,0,2,110000.0,3530.4,7318.0,0
7064,54984131,0,13,85800.0,66283.2,67011.0,0
7070,59005838,0,21,27500.0,27253.2,27528.0,0
7071,54989286,0,14,,2056.8,39358.0,0
7085,58998256,0,8,,0.0,4459.0,0
7091,54985261,0,10,149600.0,106514.4,134576.0,0
7115,54982998,0,20,,88846.8,320500.0,0
7123,59001626,0,24,,2280800.4,1953360.0,0
7130,58985795,0,10,,19995.6,50499.0,1
7143,58996654,0,18,,6235.2,31348.0,0
7145,58990663,0,1,,0.0,55500.0,0
7173,54986544,0,15,73700.0,19471.2,39058.0,1
7178,59000822,0,16,27500.0,1836.0,2811.0,0
7191,58985542,0,6,27500.0,5958.0,,0
7203,58999754,0,11,,0.0,16500.0,1
7213,58984207,0,14,,29084.4,47500.0,0
7222,58990002,0,3,46200.0,18600.0,16000.0,0
7231,58982401,0,4,44000.0,44740.8,39873.0,0
7236,58989344,0,4,,0.0,10000500.0,1
7251,58988867,0,2,123200.0,2211.6,49048.0,0
7255,58991921,0,11,,0.0,,0
7272,54990557,0,19,91300.0,102013.2,91341.0,0
7275,58985627,0,17,,1083.6,47993.0,0
7278,54984214,0,18,55000.0,50209.2,46081.0,0
7279,54982353,0,1,55000.0,0.0,2068.0,0
7297,58984726,0,2,,0.0,113219.0,1
7320,54991100,0,19,55220.0,7710.0,30863.0,0
7325,58986069,0,6,,448479.6,600500.0,0
7345,58994016,30,15,,0.0,,1
7352,58984421,0,4,45100.0,21166.8,44000.0,0
7369,58984646,0,14,85800.0,1234.8,79347.0,0
7371,54989353,0,13,130900.0,63956.4,70158.0,0
7374,54986089,0,13,,46183.2,67700.0,0
7375,58992009,0,22,,289431.6,500500.0,0
7379,54987682,0,15,73700.0,27781.2,59039.0,0
7382,58998661,0,18,123200.0,44090.4,81124.0,1
7384,58989341,0,16,,44569.2,41917.0,1
7385,54987865,0,21,,106486.8,158500.0,0
7392,58992325,0,20,64900.0,23882.4,43918.0,0
7413,58996500,0,19,159500.0,36013.2,110248.0,0
7415,54983799,0,15,,114184.8,136500.0,0
7420,59001818,0,18,71500.0,56192.4,53437.0,0
7424,58990187,0,18,,3694.8,71265.0,0
7431,58985568,0,19,123200.0,122.4,21975.0,0
7433,58991782,0,1,,0.0,54550.0,0
7436,54989469,45,16,156200.0,2598.0,33950.0,0
7438,58983865,0,16,,1683698.4,1430500.0,0
7445,58997329,0,17,,73808.4,89887.0,0
7455,58989298,0,16,27500.0,4910.4,14684.0,0
7465,58998842,0,21,,1201.2,3508.0,0
7469,59001893,0,22,122100.0,0.0,46008.0,0
7473,59001188,0,21,,197716.8,250500.0,0
7477,54988718,0,25,114400.0,24378.0,36954.0,0
7480,58990626,0,19,136400.0,41558.4,49865.0,0
7483,54988512,213,20,111100.0,342.0,1879.0,1
7485,58996120,0,12,,0.0,20500.0,0
7488,54991219,30,19,23100.0,0.0,2424.0,1
7489,59001375,0,18,,5385.6,29889.0,1
7490,54982579,0,19,,72666.0,79462.0,0
7512,54988464,0,21,115500.0,2547.6,20549.0,0
7517,54986948,0,23,55000.0,119241.6,220084.0,1
7525,54987083,0,23,136400.0,356721.6,297768.0,0
7528,58993739,0,0,,0.0,36000.0,0
7539,58988052,0,16,104500.0,1009.2,75805.0,0
7552,54982463,0,15,,79780.8,100500.0,0
7554,58984960,0,14,85800.0,36.0,1496.0,0
7557,59003223,0,23,,1398.0,8972.0,0
7560,58989409,45,16,11000.0,11574.0,21781.0,0
7565,58995168,0,26,127600.0,16332.0,28842.0,1
7569,58984428,0,19,94600.0,0.0,14373.0,0
7574,54987401,0,26,,1625805.6,1445659.0,0
7580,59003162,0,17,,931.2,17372.0,1
7586,58997888,0,24,147400.0,-3097.2,79671.0,0
7597,58998351,0,14,,0.0,8507.0,0
7614,58992082,0,11,,-32.4,36273.0,0
7627,59005871,0,29,34100.0,11610.0,32371.0,0
7632,58983297,0,13,,0.0,35189.0,1
7645,54983822,0,19,,0.0,49200.0,0
7650,58991973,0,26,57200.0,52819.2,56923.0,0
7654,58985495,0,25,165000.0,1843.2,80585.0,1
7662,59000211,0,0,,0.0,11200.0,0
7677,54988030,0,28,36300.0,0.0,11189.0,0
7690,54986687,0,2,62700.0,0.0,72700.0,0
7696,58991343,0,11,,-1508.4,,0
7735,58998624,0,27,134200.0,416.4,16375.0,0
7738,58983868,0,30,,15343.2,38912.0,0
7743,58993253,0,28,,2077.2,39462.0,1
7744,58993767,0,26,,0.0,60500.0,0
7751,54984774,0,0,,0.0,52100.0,0
7761,58991241,0,27,137500.0,89727.6,93055.0,0
7763,54986232,0,3,180400.0,117268.8,159390.0,0
7772,58992687,22,24,55000.0,54159.6,68198.0,0
7778,58983048,0,28,,237541.2,675500.0,0
7779,58990951,0,28,,59620.8,70184.0,0
7781,59003779,0,28,116600.0,106210.8,116137.0,0
7784,58982923,0,23,33000.0,33231.6,28959.0,0
7785,54984386,0,28,,160904.4,210500.0,1
7792,59001900,60,30,124300.0,105274.8,118229.0,1
7797,58997216,0,26,,2460.0,35921.0,0
7798,54986897,0,29,,283368.0,250500.0,0
7809,59000231,0,28,83600.0,0.0,,0
7828,58982371,0,2,,-1.2,77219.0,0
7840,58997686,0,28,66000.0,50424.0,57931.0,0
7844,54991534,0,28,68200.0,11658.0,61326.0,0
7852,58983500,47,25,,196692.0,250500.0,1
7853,58999263,1,25,96800.0,5881.2,70431.0,0
7858,58993402,0,1,100100.0,0.0,,0
7869,58983905,30,23,34100.0,23970.0,25762.0,0
7872,58998833,0,31,57200.0,3622.8,31225.0,0
7873,58991029,0,3,,87656.4,73547.0,0
7875,54988258,0,32,39600.0,7562.4,27097.0,0
7876,58982376,0,13,,323187.6,1000500.0,0
7884,58995669,0,0,,0.0,49000.0,0
7886,59000209,0,0,,0.0,23000.0,0
7903,54985977,0,0,,0.0,32400.0,0
7909,58994630,13,33,44000.0,29245.2,34159.0,0
7912,58988758,43,26,,4135308.0,3700500.0,0
7914,59003447,0,30,57200.0,37596.0,54986.0,0
7917,54985621,0,0,,0.0,26501.0,0
7937,54984047,0,29,,185770.8,255253.0,1
7947,58983822,0,9,,0.0,28400.0,1
7955,54985929,145,26,,358713.6,527500.0,0
7958,58989709,0,32,,0.0,20495.0,0
7963,59000414,0,3,185900.0,68722.8,127651.0,0
7966,58986623,0,35,57200.0,23658.0,36334.0,0
7971,58994376,0,35,,5610511.2,4800500.0,0
7978,58983409,0,25,,0.0,1645113.0,0
7980,59002460,0,35,,21846.0,48241.0,0
7983,54988158,0,3,,0.0,,0
8011,58983160,180,30,143000.0,-61.2,22593.0,0
8016,54990474,0,36,60500.0,1002.0,16981.0,0
8019,59001353,0,5,,0.0,232022.0,0
8029,58994740,0,14,,0.0,22500.0,0
8034,59002429,0,36,29700.0,29035.2,30626.0,0
8036,54984388,0,36,11000.0,-19.2,11634.0,0
8042,54988224,0,4,,0.0,35500.0,1
8049,58998054,0,15,15400.0,0.0,7375.0,0
8057,59003724,0,35,,14822.4,37944.0,1
8058,58997449,0,17,,0.0,125500.0,0
8067,58993563,0,20,,0.0,1551.0,0
8077,54984058,0,36,,0.0,27621.0,0
8078,58998223,0,36,132000.0,12144.0,60173.0,0
8084,54986429,0,36,,0.0,485500.0,1
8088,54987675,0,9,,0.0,1388.0,0
8094,58999931,0,36,,2161.2,44411.0,0
8096,58983730,0,35,110000.0,11239.2,100444.0,0
8101,58982754,0,36,,5850.0,65491.0,1
8118,54982725,0,36,,15817.2,43584.0,0
8119,58982583,0,11,,0.0,23600.0,0
8136,54987233,26,25,,0.0,108534.0,0
8141,54989545,105,30,84150.0,57222.0,97925.0,0
8151,58991914,0,34,269500.0,33205.2,127816.0,0
8155,58987715,480,29,22000.0,-99.6,27446.0,1
8160,59000930,0,11,,0.0,36490.0,0
8166,59000336,0,36,,0.0,75500.0,1
8168,58992450,533,28,27500.0,0.0,40561.0,0
8175,59003267,0,1,,0.0,43500.0,0
8179,58990727,0,2,,0.0,,0
8188,58989819,0,14,,0.0,300500.0,0
8195,58999697,0,34,,0.0,154500.0,0
8202,54988388,0,33,,415662.0,400500.0,0
8203,59003613,0,26,11000.0,0.0,,0
8208,58991407,0,29,,0.0,242333.0,0
8225,54988633,0,34,,1203.6,501.0,0
8228,58982507,0,26,,2235.6,11499.0,0
8229,54989871,0,2,227700.0,4581.6,196629.0,0
8230,58984708,0,2,,0.0,1680.0,0
8236,54982356,0,1,,0.0,600500.0,0
8243,58982397,1,35,234300.0,17764.8,120301.0,0
